project,pull_number,pull_type,id,text,classification,indicator
incubator-brooklyn,131,review,16893613,No point in duplicating IfFunctionBuilderApplying's code just for one differing line. Better instantiate IfFunctionBuilderApplying with Null object for the input argument (i.e. empty IfFunction).,code_debt,duplicated_code
tvm,3531,review,305483155,Moving to C++ and better error message,code_debt,low_quality_code
calcite,1825,review,383130171,No need to use ```LinkedHashMultimap``` because the key should be unique.,code_debt,low_quality_code
calcite,2076,review,457807922,Remove this sentence. It is not needed anymore.,code_debt,dead_code
zookeeper,904,review,274872856,This method is only used in the test currently. Please add it to `shutdown()` methods of `ZooKeeperServer` and `QuorumPeer` classes.,code_debt,low_quality_code
kafka,6977,review,298727205,This function seems not used?,code_debt,dead_code
incubator-heron,3123,review,242657195,+1 for reducing the redundancy.,code_debt,complex_code
trafficserver,834,review,78213185,"There is a `MIN()` macro you can use for this.
Also, I would use `sizeof(buffer)` instead of magical numbers.",code_debt,low_quality_code
nifi-minifi-cpp,74,review,109758278,i want to return the same so that it can be reused in next trigger.,code_debt,low_quality_code
spark,19041,review,163041732,"It's very rare for us to mark a class as final, especially a private one. Is there a reason for that?
It makes other things (like mocking the class in tests) more complicated, for example.",code_debt,low_quality_code
kylin,961,review,352444230,It is a `Singleton`. Should be `final` instead.,code_debt,low_quality_code
kafka,8706,review,432145121,"As above: `stores` should never be null, and thus we don't need this change? Also the check for `isEmpty` does give us much, we can still call `addAll` even it `stores` is empty?",code_debt,low_quality_code
superset,10473,review,466556166,"Typing here seems not needed. If source is optional, you can also give it a default value, otherwise maybe make it non-optional. There is actually an [eslint rule](https://github.com/yannickcr/eslint-plugin-react/blob/master/docs/rules/require-default-props.md) for this in the PropTypes world.",code_debt,low_quality_code
spark,22197,review,212812755,nit: We can have just `exception when duplicate fields in case-insensitive mode` as test title. Original one is too verbose.,code_debt,low_quality_code
spark,28641,review,435012863,Is this TaskSet index really needed? We should avoid rely on the ordering of TaskSets to verify the results.,code_debt,complex_code
nifi,3536,review,300057978,Is this commented out code no longer needed?,code_debt,dead_code
spark,26594,review,353931395,nit. `//  Need` -> `// Need`. (reducing one space between `//` and `Need`.).,code_debt,low_quality_code
flink,5367,review,165039357,I think this method is not really necessary. We already have logic for accessing composite types (see `visitFieldAccess()`). Maybe we just have to make the methods there a bit more generic.,code_debt,complex_code
airflow,4751,review,346970934,"This works, but it asks for a lot more columns and rows than we need.
We could try changing the return inside this function from `return tis.all()` to just `return tis`, and this line could become:
https://docs.sqlalchemy.org/en/13/orm/loading_columns.html#load-only-and-wildcard-options
Do you think this is worth it or not worth it?",code_debt,low_quality_code
